DataElement (Field) Name,CodeSystem Name,Field,Table #
Security Classification Tag,Confidentiality Classification,BHS.15,952
Security Handling Instructions,"",BHS.16,953
Continuation Style,Continuation Style Code,DSC.2,398
HL7 Error Code,Message Error Condition Codes,ERR.3,357
Severity,Error Severity,ERR.4,516
Application Error Code,Application Error Code,ERR.5,533
Inform Person Indicator,Inform Person Code,ERR.9,517
Override Type,Override Type,ERR.10,518
Override Reason Code,Override Reason,ERR.11,519
Security Classification Tag,Confidentiality Classification,FHS.15,952
Security Handling Instructions,"",FHS.16,953
Acknowledgment Code,Acknowledgment code,MSA.1,8
Message Waiting Priority,Message Waiting Priority,MSA.8,520
Sending Application,Application,MSH.3,361
Sending Facility,Facility,MSH.4,362
Receiving Application,Application,MSH.5,361
Receiving Facility,Facility,MSH.6,362
Accept Acknowledgment Type,Accept/Application Acknowledgment Conditions,MSH.15,155
Application Acknowledgment Type,Accept/Application Acknowledgment Conditions,MSH.16,155
Country Code,Country Code,MSH.17,399
Character Set,Alternate Character Sets,MSH.18,211
Principal Language Of Message,"",MSH.19,609
Alternate Character Set Handling Scheme,Alternate Character Set Handling Scheme,MSH.20,356
Security Classification Tag,Confidentiality Classification,MSH.26,952
Security Handling Instructions,"",MSH.27,953
Source of Comment,Source of Comment,NTE.2,105
Comment Type,Comment Type,NTE.4,364
Coded Comment,"",NTE.9,611
Business Rule Override Type,Override Type,OVR.1,518
Business Rule Override Code,Override Code,OVR.2,521
User Authentication Credential Type Code,User Authentication Credential Type Code,UAC.1,615
Event Reason Code,Event Reason,EVN.4,62
Operator ID,Operator ID,EVN.5,188
Patient Name,Name Type,PID.5,200
Administrative Sex,Administrative Sex,PID.8,1
Race,Race,PID.10,5
Primary Language,Primary Language,PID.15,296
Marital Status,Marital Status,PID.16,2
Religion,Religion,PID.17,6
Patient Account Number,Check Digit Scheme,PID.18,61
Mother's Identifier,Check Digit Scheme,PID.21,61
Ethnic Group,Ethnic Group,PID.22,189
Multiple Birth Indicator,Yes/no Indicator,PID.24,136
Citizenship,Citizenship,PID.26,171
Veterans Military Status,Veterans Military Status,PID.27,172
Nationality,Nationality,PID.28,212
Patient Death Indicator,Yes/no Indicator,PID.30,136
Identity Unknown Indicator,Yes/no Indicator,PID.31,136
Identity Reliability Code,Identity Reliability Code,PID.32,445
Taxonomic Classification Code,Species Code,PID.35,446
Breed Code,Breed Code,PID.36,447
Production Class Code,Production Class Code,PID.38,429
Tribal Citizenship,Citizenship,PID.39,171
Patient Class,Patient Class,PV1.2,4
Admission Type,Admission Type,PV1.4,7
Attending Doctor,Physician ID,PV1.7,10
Referring Doctor,Physician ID,PV1.8,10
Hospital Service,Hospital Service,PV1.10,69
Preadmit Test Indicator,Pre-Admit Test Indicator,PV1.12,87
Re-admission Indicator,Re-Admission Indicator,PV1.13,92
Admit Source,Admit Source,PV1.14,23
Ambulatory Status,Ambulatory Status,PV1.15,9
VIP Indicator,VIP Indicator,PV1.16,99
Admitting Doctor,Physician ID,PV1.17,10
Patient Type,Patient Type,PV1.18,18
Financial Class,Financial Class,PV1.20,64
Charge Price Indicator,Charge/Price Indicator,PV1.21,32
Courtesy Code,Courtesy Code,PV1.22,45
Credit Rating,Credit Rating,PV1.23,46
Contract Code,Contract Code,PV1.24,44
Interest Code,Interest Rate Code,PV1.28,73
Transfer to Bad Debt Code,Transfer to Bad Debt Code,PV1.29,110
Bad Debt Agency Code,Bad Debt Agency Code,PV1.31,21
Delete Account Indicator,Delete Account Code,PV1.34,111
Discharge Disposition,Discharge Disposition,PV1.36,112
Discharged to Location,Discharged to Location,PV1.37,113
Diet Type,Diet Type,PV1.38,114
Servicing Facility,Servicing Facilities,PV1.39,115
Bed Status,Bed Status,PV1.40,116
Account Status,Account Status,PV1.41,117
Alternate Visit ID,Identifier Type,PV1.50,203
Visit Indicator,Visit Indicator,PV1.51,326
Accommodation Code,Accommodation Code,PV2.2,129
Visit User Code,Visit User Code,PV2.7,130
Employment Illness Related Indicator,Yes/no Indicator,PV2.15,136
Purge Status Code,Purge Status Code,PV2.16,213
Special Program Code,Special Program Code,PV2.18,214
Retention Indicator,Yes/no Indicator,PV2.19,136
Visit Publicity Code,Publicity Code,PV2.21,215
Visit Protection Indicator,Yes/no Indicator,PV2.22,136
Patient Status Code,Patient Status Code,PV2.24,216
Visit Priority Code,Visit Priority Code,PV2.25,217
Expected Discharge Disposition,Discharge Disposition,PV2.27,112
Patient Charge Adjustment Code,Patient Charge Adjustment,PV2.30,218
Recurring Service Code,Recurring Service Code,PV2.31,219
Billing Media Code,Yes/no Indicator,PV2.32,136
Military Partnership Code,Yes/no Indicator,PV2.34,136
Military Non-Availability Code,Yes/no Indicator,PV2.35,136
Newborn Baby Indicator,Yes/no Indicator,PV2.36,136
Baby Detained Indicator,Yes/no Indicator,PV2.37,136
Mode of Arrival Code,Mode of Arrival Code,PV2.38,430
Recreational Drug Use Code,Recreational Drug Use Code,PV2.39,431
Admission Level of Care Code,Admission Level of Care Code,PV2.40,432
Precaution Code,Precaution Code,PV2.41,433
Patient Condition Code,Patient Condition Code,PV2.42,434
Living Will Code,Living Will Code,PV2.43,315
Organ Donor Code,Organ Donor Code,PV2.44,316
Advance Directive Code,Advance Directive Code,PV2.45,435
Notify Clergy Code,Notify Clergy Code,PV2.49,534
Name,Name Type,NK1.2,200
Relationship,Relationship,NK1.3,63
Contact Role,Contact Role,NK1.7,131
Marital Status,Marital Status,NK1.14,2
Administrative Sex,Administrative Sex,NK1.15,1
Living Dependency,Living Dependency,NK1.17,223
Ambulatory Status,Ambulatory Status,NK1.18,9
Citizenship,Citizenship,NK1.19,171
Primary Language,Primary Language,NK1.20,296
Living Arrangement,Living Arrangement,NK1.21,220
Publicity Code,Publicity Code,NK1.22,215
Protection Indicator,Yes/no Indicator,NK1.23,136
