Table #,V2 Table Type,Name,Description,Concept Domain,Steward WorkGroup,V2 Binding Code,Field Where Used,V2 Codes Table Comment.,Code System Problem?,Table OID,V2 Code System OID,V2 Code System URI,V2 Value Set OID,V2 Value Set URI,V2 Code System Version,version-tbl-introduced,version-csvs-introduced,V2 VS CLD Type
0001,User,Administrative Sex,Table of codes specifying a patient's sex.,AdministrativeSex,pa,Representative (2),PID-8,,,2.16.840.1.113883.12.1,2.16.840.1.113883.18.2,http://terminology.hl7.org/CodeSystem/v2-0001,2.16.840.1.113883.21.2,http://terminology.hl7.org/ValueSet/v2-0001,10,2.1,2.9,1
0002,User,Marital Status,Table of codes specifying a person's marital (civil/legal) status.,V2MaritalStatus,pa,Representative (2),PID-16,,,2.16.840.1.113883.12.2,2.16.840.1.113883.18.179,http://terminology.hl7.org/CodeSystem/v2-0002,2.16.840.1.113883.21.3,http://terminology.hl7.org/ValueSet/v2-0002,10,2.1,2.9,1
0003,HL7,Event Type,HL7-defined table of codes specifying the trigger event for Version 2.x interface messages.,EventType,inm,Universal (3),MSH-9.2,,,2.16.840.1.113883.12.3,2.16.840.1.113883.18.4,http://terminology.hl7.org/CodeSystem/v2-0003,2.16.840.1.113883.21.4,http://terminology.hl7.org/ValueSet/v2-0003,10,2.1,2.9,1
0004,User,Patient Class,Table of codes used by systems to categorize patients by site in HL7 Version 2.x interfaces.,PatientClass,pa,Example (1),PV1-2,,,2.16.840.1.113883.12.4,2.16.840.1.113883.18.5,http://terminology.hl7.org/CodeSystem/v2-0004,2.16.840.1.113883.21.5,http://terminology.hl7.org/ValueSet/v2-0004,10,2.1,2.9,1
0005,User,Race,"Table of codes specifying the patient's race. These values are suggestions only, they are not required for use in HL7 messages.",V2Race,pa,US Realm (4),PID-10,US Realm,urn:oid:2.16.840.1.113883.6.238,2.16.840.1.113883.12.5,2.16.840.1.113883.6.238,urn:oid:2.16.840.1.113883.6.238,2.16.840.1.114222.4.11.6065,http://terminology.hl7.org/ValueSet/v2-0005,10,2.1,2.9,2
0006,User,Religion,Table of codes specifying a person's religion.,Religion,inm,Representative (2),PID-17,,,2.16.840.1.113883.12.6,2.16.840.1.113883.18.8,http://terminology.hl7.org/CodeSystem/v2-0006,2.16.840.1.113883.21.9,http://terminology.hl7.org/ValueSet/v2-0006,10,2.1,2.9,1
0007,User,Admission Type,Table of codes specifying the circumstances under which the patient was or will be admitted.,AdmissionType,pa,Example (1),PV1-4,,,2.16.840.1.113883.12.7,2.16.840.1.113883.18.9,http://terminology.hl7.org/CodeSystem/v2-0007,2.16.840.1.113883.21.10,http://terminology.hl7.org/ValueSet/v2-0007,10,2.1,2.9,1
0008,HL7,Acknowledgment code,"HL7-defined table of codes specifying acknowledgment codes used in Version 2.x message.  For details of usage, see message processing rules in the published Standard.",AcknowledgmentCode,inm,Universal (3),MSA-1.1,,,2.16.840.1.113883.12.8,2.16.840.1.113883.18.10,http://terminology.hl7.org/CodeSystem/v2-0008,2.16.840.1.113883.21.11,http://terminology.hl7.org/ValueSet/v2-0008,10,2.1,2.9,1
0009,User,Ambulatory Status,Table of codes specifying permanent or transient handicapped conditions of a person.,AmbulatoryStatus,pa,Representative (2),PV1-15,,,2.16.840.1.113883.12.9,2.16.840.1.113883.18.11,http://terminology.hl7.org/CodeSystem/v2-0009,2.16.840.1.113883.21.12,http://terminology.hl7.org/ValueSet/v2-0009,10,2.1,2.9,1
0010,User,Physician ID,Table of codes specifying the attending physician information.  No suggested values.,,pa,N/A (0),"PV1-7, SCD-34",,,2.16.840.1.113883.12.10,,,,,10,2.1,2.9,
