Chapter,Field,ELEMENT NAME,Definition Title
3,PID-6,Mother's Maiden Name,Mothers Maiden Name
3,PID-20,Driver's License Number - Patient,Drivers License Number - Patient
3,PID-21,Mother's Identifier,Mothers Identifier
3,NK1-30,Contact Person's Name,Contact Persons Name
3,NK1-31,Contact Person's Telephone Number,Contact Persons Telephone Number
3,NK1-32,Contact Person's Address,Contact Persons Address
3,NK1-33,Next of Kin/Associated Party's Identifiers,Next of Kin/Associated Partys Identifiers
3,NK1-41,Contact Person's Telecommunication Information,Contact Persons Telecommunication Information
4,ORC-13,Enterer's Location,Enterers Location
4,ORC-27,Filler's Expected Availability Date/Time,Fillers Expected Availability Date/Time
4,OBR-1,Set ID – OBR,Set ID - OBR
4,OBR-7,Observation Date/Time #,Observation Date/Time
4,OBR-8,Observation End Date/Time #,Observation End Date/Time
4,OBR-9,Collection Volume *,Collection Volume
4,OBR-10,Collector Identifier *,Collector Identifier
4,OBR-11,Specimen Action Code *,Specimen Action Code
4,OBR-14,Specimen Received Date/Time *,Specimen Received Date/Time
4,OBR-20,Filler Field 1 +,Filler Field 1
4,OBR-21,Filler Field 2 +,Filler Field 2
4,OBR-22,Results Rpt/Status Chng – Date/Time +,Results Rpt/Status Chng - Date/Time
4,OBR-23,Charge to Practice +,Charge to Practice
4,OBR-25,Result Status +,Result Status
4,OBR-26,Parent Result +,Parent Result
4,OBR-29,Parent Results Observation Identifier,Parent Result Observation Identifier
4,OBR-32,Principal Result Interpreter +,Principal Result Interpreter
4,OBR-33,Assistant Result Interpreter +,Assistant Result Interpreter
4,OBR-34,Technician +,Technician
4,OBR-35,Transcriptionist +,Transcriptionist
4,OBR-36,Scheduled Date/Time +,Scheduled Date/Time
4,OBR-37,Number of Sample Containers *,Number of Sample Containers
4,OBR-38,Transport Logistics of Collected Sample *,Transport Logistics of Collected Sample
4,OBR-39,Collector's Comment *,Collectors Comment
4,RQ1-3,Manufacturer's Catalog,Manufacturers Catalog
4,BPO-1,Set ID – BPO,Set ID - BPO
4,BPX-1,Set ID – BPX,Set ID - BPX
4,BTX-1,Set ID – BTX,Set ID - BTX
4,DON-13,Process Interruption Reason,- Process Interruption Reason
