First level,Domain/Workflow/...,Second Level,Third Level,V2 Section,V2 Section Names,v2+ HTML Page,v2+ Group Type,v2+ Group Section,Comments
,,,,,,,,,"with ""+"" it means includes all subsections 
without ""+"" it means that none of the subsection are included."
Home Page,,,,,,,,,
,Overall Navigation + Intro,,,<none>,,,,,
Introduction,,,,,,,,,
,,,,Chapter 1,,V2+ Introduction,,,
Foundation,,,,,,,,,
,Introduction,,,Chapter 2 reorganization,,??,,,
,Control,,,Chapter 2 reorganization,,??,,,
,Etc.,,,Chapter 2 reorganization,,??,,,
,,,,,,,,,
Domain Messaging View,,,,,,,,,
,Administration ,,,,,,,,
,,Introduction,,,,Administration Domain,Text,,
,,Registration,,,,,,,
,,,Introduction,3.2,,Registration,Text,,
,,,General Use Cases / Background,<none>,,Registration,Text,,
,,,Implementation Considerations,3.6+,,Registration,Text,,
,,,Technical Specs,,,Registration,Text,,
,,,,3.3.1,ADT/ACK - Admit/Visit Notification (Event A01),Message - A01 Admit/Visit Notification,Message,Text,
,,,,3.3.1,ADT/ACK - Admit/Visit Notification (Event A01),Message - A01 Admit/Visit Notification,Message,Tab - ADT^A01^ADT_A01,
,,,,3.3.1,ADT/ACK - Admit/Visit Notification (Event A01),Message - A01 Admit/Visit Notification,Message,Tab - ADT Interaction,
,,,,3.3.1,ADT/ACK - Admit/Visit Notification (Event A01),Message - A01 Admit/Visit Notification,Message,Tab - ACK^A01^ACK,
,,,,3.3.1,ADT/ACK - Admit/Visit Notification (Event A01),Message - A01 Admit/Visit Notification,Message,Tab - ACK Interaction,
,,,,3.3.2,ADT/ACK - Transfer a Patient (Event A02),Message - A02 Transfer a Patient,Message,Text,
,,,,3.3.2,ADT/ACK - Transfer a Patient (Event A02),Message - A02 Transfer a Patient,Message,Tab - ADT^A02^ADT_A02,
,,,,3.3.2,ADT/ACK - Transfer a Patient (Event A02),Message - A02 Transfer a Patient,Message,Tab - ADT Interaction,
,,,,3.3.2,ADT/ACK - Transfer a Patient (Event A02),Message - A02 Transfer a Patient,Message,Tab - ACK^A02^ACK,
,,,,3.3.2,ADT/ACK - Transfer a Patient (Event A02),Message - A02 Transfer a Patient,Message,Tab - ACK Interaction,
,,,,3.3.3,ADT/ACK - Discharge/End Visit (Event A03),Message - A03 Discharge/End Visit,Message,Text,
,,,,3.3.3,ADT/ACK - Discharge/End Visit (Event A03),Message - A03 Discharge/End Visit,Message,Tab - ADT^A03^ADT_A03,
,,,,3.3.3,ADT/ACK - Discharge/End Visit (Event A03),Message - A03 Discharge/End Visit,Message,Tab - ADT Interaction,
,,,,3.3.3,ADT/ACK - Discharge/End Visit (Event A03),Message - A03 Discharge/End Visit,Message,Tab - ACK^A03^ACK,
,,,,3.3.3,ADT/ACK - Discharge/End Visit (Event A03),Message - A03 Discharge/End Visit,Message,Tab - ACK Interaction,
,,,,3.3.4,ADT/ACK - Register a Patient (Event A04),Message - A04 Register a Patient,Message,Text,
,,,,3.3.4,ADT/ACK - Register a Patient (Event A04),Message - A04 Register a Patient,Message,Tab - ADT^A04^ADT_A01,
,,,,3.3.4,ADT/ACK - Register a Patient (Event A04),Message - A04 Register a Patient,Message,Tab - ADT Interaction,
,,,,3.3.4,ADT/ACK - Register a Patient (Event A04),Message - A04 Register a Patient,Message,Tab - ACK^A04^ACK,
,,,,3.3.4,ADT/ACK - Register a Patient (Event A04),Message - A04 Register a Patient,Message,Tab - ACK Interaction,
,,,,3.3.5,ADT/ACK - Pre-Admit a Patient (Event A05),Message - A05 Pre-Admit a Patient,Message,Text,
,,,,3.3.5,ADT/ACK - Pre-Admit a Patient (Event A05),Message - A05 Pre-Admit a Patient,Message,Tab - ADT^A05^ADT_A05,
,,,,3.3.5,ADT/ACK - Pre-Admit a Patient (Event A05),Message - A05 Pre-Admit a Patient,Message,Tab - ADT Interaction,
,,,,3.3.5,ADT/ACK - Pre-Admit a Patient (Event A05),Message - A05 Pre-Admit a Patient,Message,Tab - ACK^A05^ACK,
,,,,3.3.5,ADT/ACK - Pre-Admit a Patient (Event A05),Message - A05 Pre-Admit a Patient,Message,Tab - ACK Interaction,
,,,,3.3.6,ADT/ACK - Change an Outpatient to an Inpatient (Event A06),Message - A06  Change an Outpatient to an Inpatient,Message,Text,
,,,,3.3.6,ADT/ACK - Change an Outpatient to an Inpatient (Event A06),Message - A06  Change an Outpatient to an Inpatient,Message,Tab - ADT^A06^ADT_A06,
,,,,3.3.6,ADT/ACK - Change an Outpatient to an Inpatient (Event A06),Message - A06  Change an Outpatient to an Inpatient,Message,Tab - ADT Interaction,
,,,,3.3.6,ADT/ACK - Change an Outpatient to an Inpatient (Event A06),Message - A06  Change an Outpatient to an Inpatient,Message,Tab - ACK^A06^ACK,
,,,,3.3.6,ADT/ACK - Change an Outpatient to an Inpatient (Event A06),Message - A06  Change an Outpatient to an Inpatient,Message,Tab - ACK Interaction,
,,,,3.3.7,ADT/ACK - Change an Inpatient to an Outpatient (Event A07),Message - A07 Change an Inpatient to an Outpatient,Message,Text,
,,,,3.3.7,ADT/ACK - Change an Inpatient to an Outpatient (Event A07),Message - A07 Change an Inpatient to an Outpatient,Message,Tab - ADT^A07^ADT_A06,
,,,,3.3.7,ADT/ACK - Change an Inpatient to an Outpatient (Event A07),Message - A07 Change an Inpatient to an Outpatient,Message,Tab - ADT Interaction,
,,,,3.3.7,ADT/ACK - Change an Inpatient to an Outpatient (Event A07),Message - A07 Change an Inpatient to an Outpatient,Message,Tab - ACK^A07^ACK,
,,,,3.3.7,ADT/ACK - Change an Inpatient to an Outpatient (Event A07),Message - A07 Change an Inpatient to an Outpatient,Message,Tab - ACK Interaction,
,,,,3.3.8,ADT/ACK - Update Patient Information (Event A08),Message - A08 Update Patient Information,Message,Text,
,,,,3.3.8,ADT/ACK - Update Patient Information (Event A08),Message - A08 Update Patient Information,Message,Tab - ADT^A08^ADT_A01,
,,,,3.3.8,ADT/ACK - Update Patient Information (Event A08),Message - A08 Update Patient Information,Message,Tab - ADT Interaction,
,,,,3.3.8,ADT/ACK - Update Patient Information (Event A08),Message - A08 Update Patient Information,Message,Tab - ACK^A08^ACK,
,,,,3.3.8,ADT/ACK - Update Patient Information (Event A08),Message - A08 Update Patient Information,Message,Tab - ACK Interaction,
,,,,3.3.9,ADT/ACK - Patient Departing - Tracking (Event A09),Message - A09 Patient Departing - Tracking ,Message,Text,
,,,,3.3.9,ADT/ACK - Patient Departing - Tracking (Event A09),Message - A09 Patient Departing - Tracking ,Message,Tab - ADT^A09^ADT_A09,
,,,,3.3.9,ADT/ACK - Patient Departing - Tracking (Event A09),Message - A09 Patient Departing - Tracking ,Message,Tab - ADT Interaction,
,,,,3.3.9,ADT/ACK - Patient Departing - Tracking (Event A09),Message - A09 Patient Departing - Tracking ,Message,Tab - ACK^A09^ACK,
,,,,3.3.9,ADT/ACK - Patient Departing - Tracking (Event A09),Message - A09 Patient Departing - Tracking ,Message,Tab - ACK Interaction,
,,,,3.3.10,ADT/ACK - Patient Arriving - Tracking (Event A10),Message - A10 Patient Arriving - Tracking ,Message,Text,
,,,,3.3.10,ADT/ACK - Patient Arriving - Tracking (Event A10),Message - A10 Patient Arriving - Tracking ,Message,Tab - ADT^A10^ADT_A09,
,,,,3.3.10,ADT/ACK - Patient Arriving - Tracking (Event A10),Message - A10 Patient Arriving - Tracking ,Message,Tab - ADT Interaction,
,,,,3.3.10,ADT/ACK - Patient Arriving - Tracking (Event A10),Message - A10 Patient Arriving - Tracking ,Message,Tab - ACK^A10^ACK,
,,,,3.3.10,ADT/ACK - Patient Arriving - Tracking (Event A10),Message - A10 Patient Arriving - Tracking ,Message,Tab - ACK Interaction,
,,,,3.3.11,ADT/ACK - Cancel Admit / Visit Notification (Event A11),Message - A11 Cancel Admit / Visit Notification,Message,Text,
,,,,3.3.11,ADT/ACK - Cancel Admit / Visit Notification (Event A11),Message - A11 Cancel Admit / Visit Notification,Message,Tab - ADT^A11^ADT_A09,
,,,,3.3.11,ADT/ACK - Cancel Admit / Visit Notification (Event A11),Message - A11 Cancel Admit / Visit Notification,Message,Tab - ADT Interaction,
,,,,3.3.11,ADT/ACK - Cancel Admit / Visit Notification (Event A11),Message - A11 Cancel Admit / Visit Notification,Message,Tab - ACK^A11^ACK,
,,,,3.3.11,ADT/ACK - Cancel Admit / Visit Notification (Event A11),Message - A11 Cancel Admit / Visit Notification,Message,Tab - ACK Interaction,
,,,,3.3.12,ADT/ACK - Cancel Transfer (Event A12),Message - A12 Cancel Transfer,Message,Text,
,,,,3.3.12,ADT/ACK - Cancel Transfer (Event A12),Message - A12 Cancel Transfer,Message,Tab - ADT^A12^ADT_A12,
,,,,3.3.12,ADT/ACK - Cancel Transfer (Event A12),Message - A12 Cancel Transfer,Message,Tab - ADT Interaction,
,,,,3.3.12,ADT/ACK - Cancel Transfer (Event A12),Message - A12 Cancel Transfer,Message,Tab - ACK^A12^ACK,
,,,,3.3.12,ADT/ACK - Cancel Transfer (Event A12),Message - A12 Cancel Transfer,Message,Tab - ACK Interaction,
,,,,3.3.13,ADT/ACK - Cancel Discharge / End Visit (Event A13),Message - A13 Cancel Discharge / End Visit,Message,Text,
,,,,3.3.13,ADT/ACK - Cancel Discharge / End Visit (Event A13),Message - A13 Cancel Discharge / End Visit,Message,Tab - ADT^A13^ADT_A01,
,,,,3.3.13,ADT/ACK - Cancel Discharge / End Visit (Event A13),Message - A13 Cancel Discharge / End Visit,Message,Tab - ADT Interaction,
,,,,3.3.13,ADT/ACK - Cancel Discharge / End Visit (Event A13),Message - A13 Cancel Discharge / End Visit,Message,Tab - ACK^A13^ACK,
,,,,3.3.13,ADT/ACK - Cancel Discharge / End Visit (Event A13),Message - A13 Cancel Discharge / End Visit,Message,Tab - ACK Interaction,
,,,,3.3.14,ADT/ACK - Pending Admit (Event A14),Message - A14 Pending Admit ,Message,Text,
,,,,3.3.14,ADT/ACK - Pending Admit (Event A14),Message - A14 Pending Admit ,Message,Tab - ADT^A14^ADT_A05,
,,,,3.3.14,ADT/ACK - Pending Admit (Event A14),Message - A14 Pending Admit ,Message,Tab - ADT Interaction,
,,,,3.3.14,ADT/ACK - Pending Admit (Event A14),Message - A14 Pending Admit ,Message,Tab - ACK^A14^ACK,
