Ch2c Table,Ch2c Concept Domain Info - Name,Ch2c Concept Domain Info - Symbolic Name,Ch2c Concept Domain Info - Description,Ch2c Concept Domain Info - Cd Only,Ch2c Cs Info - Oid,Ch2c Cs Info - Symbolic Name,Ch2c Cs Info - Description,Ch2c Cs Info - Full Name,Ch2c Cs Info - Utg Url,Ch2c Cs Info - Utg Name,Ch2c Cs Info - Table Oid,Ch2c Cs Info - Version Info,Ch2c Cs Info - Web Url,Ch2c Cs Info - Comments,Ch2c Cs Version Info - Effective Date,Ch2c Cs Version Info - Version,Ch2c Cs Version Info - Version Introduced,Ch2c Vs Version Info - Oid,Ch2c Vs Version Info - Symbolic Name,Ch2c Vs Version Info - Description,Ch2c Vs Version Info - Full Name,Ch2c Vs Version Info - Utg Url,Ch2c Vs Version Info - Cld,Ch2c Vs Version Info - Web Url,Ch2c Vs Version Info - Utg Name,Ch2c Vs Version Info - Utg Title,Ch2c Vs Version Info - Comments,Ch2c Binding Info - Realm,Ch2c Metadata - Table,Ch2c Metadata - Table Oid,Ch2c Metadata - Symbolic Name,Ch2c Metadata - Description,Ch2c Metadata - Type,Ch2c Metadata - Steward,Ch2c Metadata - Where Used,Ch2c Metadata - Version Introduced,Ch2c Metadata - Full Name,Ch2c Metadata - Utg Url
0001 -- Administrative Sex,DOM: 1,AdministrativeSex,The domain of possible values for a patient's sex.,false,2.16.840.1.113883.18.2,administrativeSex,"Code system of concepts specifying a patient's sex for
administrative purposes. Used in HL7 Version 2.x messages in the PID
segment.",Administrative Sex Code System,http://terminology.hl7.org/CodeSystem/v2-0001,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.2,hl7VS-administrativeSex,"Concepts specifying a patient's sex for administrative
purposes.",Administrative Sex Value Set,http://terminology.hl7.org/ValueSet/v2-0001,all codes,,,,,representative,0001,2.16.840.1.113883.12.1,Administrative Sex,Table of codes specifying a patient's sex.,User,PA,PID-8,2.1,,
0002 -- Marital Status,DOM: 2,V2MaritalStatus,"The domain of possible values for a person's marital (civil/legal)
status.",false,2.16.840.1.113883.18.179,maritalStatus,"Code system of concepts specifying a person's marital (civil/legal)
status. Used in HL7 Version 2.x messages in the PID segment.",Marital Status Code System,http://terminology.hl7.org/CodeSystem/v2-0002,,,,,,31.12.1992,2,2.1,2.16.840.1.113883.21.3,hl7VS-maritalStatus,"Value Set of codes that specify a person's marital (civil/legal)
status.",Marital Status Value Set,http://terminology.hl7.org/ValueSet/v2-0002,all codes,,,,,representative,0002,2.16.840.1.113883.12.2,Marital Status,"Table of codes specifying a person's marital (civil/legal)
status.",User,PA,PID-16,2.1,,
0003 -- Event Type,DOM: 3,EventType,"The domain of possible values for the trigger event for Version 2.x
interface messages.",false,2.16.840.1.113883.18.4,eventType,"HL7-defined code system of concepts specifying the trigger event for
Version 2.x interface messages. Used in HL7 Version 2.x messaging in the
MSH segment.",Event Type Code System,http://terminology.hl7.org/CodeSystem/v2-0003,,,,,,31.12.1992,13,2.1,2.16.840.1.113883.21.4,hl7VS-eventTypeCode,"Concepts specifying the trigger event for Version 2.x interface
messages.",Event Type Value Set,http://terminology.hl7.org/ValueSet/v2-0003,all codes,,,,,universal,0003,2.16.840.1.113883.12.3,Event Type,"HL7-defined table of codes specifying the trigger event for Version
2.x interface messages.",HL7,InM,MSH-9.2,2.1,,
0004 -- Patient Class,DOM: 4,PatientClass,"The domain of possible values that systems to categorize patients by
site in HL7 Version 2.x interfaces.",false,2.16.840.1.113883.18.5,patientClass,"Code system of concepts used by systems to categorize patients by
site in HL7 Version 2.x interfaces in the PV1 segment.",Patient Class Code System,http://terminology.hl7.org/CodeSystem/v2-0004,,,,,,31.12.1992,3,2.1,2.16.840.1.113883.21.5,hl7VS-patientClass,Concepts used by systems to categorize patients by sites.,Patient Class Value Set,http://terminology.hl7.org/ValueSet/v2-0004,all codes,,,,,example,0004,2.16.840.1.113883.12.4,Patient Class,"Table of codes used by systems to categorize patients by site in HL7
Version 2.x interfaces.",User,PA,PV1-2,2.1,,
0005 -- Race,DOM: 5,V2Race,The domain of possible values for the patient's race.,true,,,,,,,,,,,,,,,,,,,,,,,,,0005,2.16.840.1.113883.12.5,Race,"Table of codes specifying the patient's race. These values are
suggestions only, they are not required for use in HL7 messages.",User,PA,PID-10,2.1,,
0006 -- Religion,DOM: 6,Religion,The domain of possible values for a person's religion.,false,2.16.840.1.113883.18.8,religion2,"Code system of concepts specifying a person's religion. Used in HL7
Version 2.x messaging in the PID segment.",Religion Code System,http://terminology.hl7.org/CodeSystem/v2-0006,,,,,,01.11.2000,2,2.4,2.16.840.1.113883.21.9,hl7VS-religion2,Value Set of codes that specify a person's religion.,Religion Value Set,http://terminology.hl7.org/ValueSet/v2-0006,all codes,,,,,representative,0006,2.16.840.1.113883.12.6,Religion,Table of codes specifying a person's religion.,User,InM,PID-17,2.1,,
0007 -- Admission Type,DOM: 7,AdmissionType,"The domain of possible values for the circumstances under which the
patient was or will be admitted.",false,2.16.840.1.113883.18.9,admissionType,"Code system of concepts specifying the circumstances under which the
patient was or will be admitted. Used in HL7 Version 2.x messaging in
the PV1 segment.",Admission Type Code System,http://terminology.hl7.org/CodeSystem/v2-0007,,,,,,31.12.1992,2,2.1,2.16.840.1.113883.21.10,hl7VS-admissionType,"Value Set of codes that specify the circumstances under which the
patient was or will be admitted.",Admission Type Value Set,http://terminology.hl7.org/ValueSet/v2-0007,all codes,,,,,example,0007,2.16.840.1.113883.12.7,Admission Type,"Table of codes specifying the circumstances under which the patient
was or will be admitted.",User,PA,PV1-4,2.1,,
0008 -- Acknowledgment code,DOM: 8,AcknowledgmentCode,"The domain of possible values for acknowledgment codes used in
Version 2.x message. For details of usage, see message processing rules
in the published Standard.",false,2.16.840.1.113883.18.10,acknowledgmentCodes,"HL7-defined code system of concepts specifying acknowledgment codes.
For details of usage, see message processing rules in the published
Standard. Used in HL7 Version 2.x messaging in the MSA segment.",Acknowledgment code Code System,http://terminology.hl7.org/CodeSystem/v2-0008,,,,,,31.12.1992,3,2.1,2.16.840.1.113883.21.11,hl7VS-acknowledgmentCode,"Concepts specifying acknowledgment codes used in Version 2.x
message. For details of usage, see message processing rules in the
published Standard.",Acknowledgment code Value Set,http://terminology.hl7.org/ValueSet/v2-0008,all codes,,,,,universal,0008,2.16.840.1.113883.12.8,Acknowledgment code,"HL7-defined table of codes specifying acknowledgment codes used in
Version 2.x message. For details of usage, see message processing rules
in the published Standard.",HL7,InM,MSA-1.1,2.1,,
0009 -- Ambulatory Status,DOM: 9,AmbulatoryStatus,"The domain of possible values for permanent or transient handicapped
conditions of a person.",false,2.16.840.1.113883.18.11,ambulatoryStatus,"Code system of concepts specifying permanent or transient
handicapped conditions of a person. Used in HL7 Version 2.x messaging in
the PV1 segment.",Ambulatory Status Code System,http://terminology.hl7.org/CodeSystem/v2-0009,,,,,,31.12.1992,1,2.1,2.16.840.1.113883.21.12,hl7VS-ambulatoryStatus,"Value Set of codes that specify permanent or transient handicapped
conditions of a person.",Ambulatory Status Value Set,http://terminology.hl7.org/ValueSet/v2-0009,all codes,,,,,representative,0009,2.16.840.1.113883.12.9,Ambulatory Status,"Table of codes specifying permanent or transient handicapped
conditions of a person.",User,PA,PV1-15,2.1,,
0010 -- Physician ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010,2.16.840.1.113883.12.10,Physician ID,"Table of codes specifying the attending physician information. No
suggested values.",User,PA,"PV1-7, SCD-34",2.1,,
