"Issue Type","Key","Status","Resolution","Summary","Reporter","Created","Updated","Priority","Assignee","Parent key","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments"
"Change Request","UP-344","Environment Setup","","Apply Patient Admin approved Terminology changes","brian.postlethwaite","2022-08-30 12:14","2022-08-30 01:06","Medium","brian.postlethwaite","","","","","","","","","","","","","","","","","","","","","","","","","2022-08-30 12:38;brian.postlethwaite;I've made the changes and they build locally and branch is pushed to Bitbucket and can see the changes there

(only change I have outstanding in the set of FHIR trackers is the rename from [http://terminology.hl7.org/CodeSystem/location-physical-type]
->
[http://terminology.hl7.org/CodeSystem/location-form])","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-343","Environment Setup","","Create subtabs to organize Identifier Systems","jsnell","2022-08-29 03:00","2022-08-29 03:00","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-342","Proposal Draft","","Add CLIA Identifier System per HTA","jsnell","2022-08-29 09:05","2022-08-29 09:05","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-341","Proposal Draft","","Add HGNC Code Systems per HTA","jsnell","2022-08-26 10:33","2022-08-26 12:52","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-340","Environment Setup","","table 0396: add codes for German AlphaID, ICD10 and OPS for 2010 to 2022","FrankOemig","2022-08-25 11:16","2022-08-25 11:30","Medium","FrankOemig","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-339","Environment Setup","","add codes to v2-0203 for use in German profiles","FrankOemig","2022-08-19 06:56","2022-08-19 09:51","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-338","QC Review","","Add Human Phenotype Ontology per HTA","jsnell","2022-08-09 10:20","2022-08-29 04:56","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","2022-08-29 08:57;jsnell;[~marc.duteau] , the published example link is broken on this one. Can you look into it? Thank you!","2022-08-29 04:56;marc.duteau;Fixed. That was a dumb error on my part.  I hadn't finished this one but I *had* finished Reuben's.  When I went to move his to QC Review, I accidentally moved this one.  That being said this one's done now too so once the branch actually builds it'll be fine...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-337","Environment Setup","","Please add additional format Codes to the http://terminology.hl7.org/CodeSystem/v3-HL7DocumentFormatCodes codeSystem","LisaRNelson","2022-08-08 01:38","2022-08-08 01:38","Medium","LisaRNelson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-336","Environment Setup","","HL7 v2 Table 0112 Broken Links to Code System and Value Set","rsnelick","2022-08-04 10:39","2022-08-04 10:39","Medium","rsnelick","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-335","Proposal Draft","","Add ICF and Resolve Issue with existing ICF Dutch Translation per HTA","jsnell","2022-08-04 07:28","2022-08-04 07:38","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-334","Environment Setup","","Add a new extension to THO that allows to specify how the code system definition is incomplete","GrahameGrieve","2022-07-27 10:24","2022-07-27 10:24","Medium","GrahameGrieve","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-333","Environment Setup","","Amend all CUI code definitions to cite directly from NARA Category Definitions ","jafarim","2022-07-24 05:08","2022-07-24 05:08","Medium","jafarim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-332","Content Check","","Add CAPeCC per HTA","jsnell","2022-07-05 09:16","2022-08-29 04:07","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=108299075","https://confluence.hl7.org/pages/viewpage.action?pageId=108301423","https://confluence.hl7.org/pages/viewpage.action?pageId=134940963","https://confluence.hl7.org/pages/viewpage.action?pageId=134945325","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
